USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.3  23328 13712 ?        Ss   22:18   0:04 /sbin/init splash
root         878  0.0  0.4 336048 19380 ?        Ssl  22:19   0:00 /usr/sbin/NetworkManager --no-daemon
root         951  0.0  0.2 390288 11736 ?        Ssl  22:19   0:00 /usr/sbin/ModemManager
root        1021  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u521:1]
root        1023  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u519:1]
root        1058  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-rpciod]
root        1059  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-xprtiod]
root        1070  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u512:2]
root        1071  0.0  0.0   6856  2620 ?        Ss   22:19   0:00 /usr/sbin/cron -f
root        1207  0.0  0.1 380896  7044 ?        SLsl 22:19   0:00 /usr/sbin/lightdm
root        1221 10.1  3.5 458372 140252 tty7    Ssl+ 22:19   2:01 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1223  0.0  0.0   8100  2336 tty1     Ss+  22:19   0:00 /sbin/agetty -o -- \u --noreset --noclear - linux
root        1246  0.0  0.0      0     0 ?        S    22:19   0:00 [psimon]
rtkit       1279  0.0  0.0  21428  3012 ?        SNsl 22:19   0:00 /usr/libexec/rtkit-daemon
root        1351  0.0  0.2 170952  8868 ?        Sl   22:19   0:00 lightdm --session-child 13 22
root        1353  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/1:2-events]
luisval+    1363  0.0  0.3  21984 12484 ?        Ss   22:19   0:00 /usr/lib/systemd/systemd --user
luisval+    1365  0.0  0.0  22720  3632 ?        S    22:19   0:00 (sd-pam)
luisval+    1385  0.0  0.0   7176  3516 ?        Ss   22:19   0:00 /usr/bin/mpris-proxy
luisval+    1386  1.9  0.3 169692 13628 ?        S<sl 22:19   0:23 /usr/bin/pipewire
luisval+    1387  0.0  0.1  84596  5252 ?        Ssl  22:19   0:00 /usr/bin/pipewire -c filter-chain.conf
luisval+    1389  0.0  0.4 479952 18184 ?        S<sl 22:19   0:00 /usr/bin/wireplumber
luisval+    1390  1.5  0.4 176628 18164 ?        S<Lsl 22:19   0:17 /usr/bin/pipewire-pulse
luisval+    1391  0.0  0.2 183252 10084 ?        SLsl 22:19   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
luisval+    1392  0.0  0.1   9120  5312 ?        Ss   22:19   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
luisval+    1412  0.1  0.8 348744 34940 ?        Ssl  22:19   0:01 xfce4-session
luisval+    1481  0.0  0.1 381084  7080 ?        Ssl  22:19   0:00 /usr/libexec/at-spi-bus-launcher
luisval+    1488  0.0  0.1   8660  4736 ?        S    22:19   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
luisval+    1498  0.0  0.1 168668  7304 ?        Sl   22:19   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
luisval+    1506  0.0  0.0  10328  1700 ?        Ss   22:19   0:00 /usr/bin/ssh-agent -s
luisval+    1514  0.0  0.0  81732  3428 ?        SLs  22:19   0:00 /usr/bin/gpg-agent --supervised
luisval+    1516  3.1  3.4 2996512 137444 ?      Sl   22:19   0:36 xfwm4
luisval+    1520  0.0  0.1 312912  7928 ?        Ssl  22:19   0:00 /usr/libexec/gvfsd
luisval+    1526  0.0  0.1 392312  7280 ?        Sl   22:19   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
luisval+    1570  0.0  0.7 311460 28964 ?        Sl   22:19   0:00 xfsettingsd
luisval+    1575  0.0  0.1 165160  5752 ?        Ssl  22:19   0:00 /usr/libexec/dconf-service
luisval+    1579  0.2  1.1 539820 46080 ?        Sl   22:19   0:03 xfce4-panel
luisval+    1584  0.0  0.6 346728 24784 ?        Sl   22:19   0:00 Thunar --daemon
luisval+    1590  0.3  1.6 545088 65720 ?        Sl   22:19   0:04 xfdesktop
luisval+    1594  0.0  1.0 461748 43636 ?        Sl   22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Menú Whisker Mostrar un menú para acceder fácilmente a las aplicaciones instaladas
luisval+    1598  0.6  3.8 398132 151988 ?       Sl   22:19   0:07 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph Gráfico del procesador Gráfico de la carga del procesador
luisval+    1599  0.0  0.6 411932 25848 ?        Sl   22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Bandeja de estado Proporciona notificaciones de estado (indicadores de aplicación) y elementos de la bandeja del sistema heredada
luisval+    1600  0.4  0.7 274672 29104 ?        Sl   22:19   0:05 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Monitor genérico Mostrar la salida de una orden.
luisval+    1601  0.1  1.3 404472 51852 ?        Sl   22:19   0:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Ajusta el volumen del sistema de sonido PulseAudio
luisval+    1602  0.0  1.0 461236 40332 ?        Sl   22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notificaciones Notificaciones para el panel de Xfce
luisval+    1603  0.0  1.0 322328 41028 ?        Sl   22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Gestor de energía Muestra los niveles de la batería de los dispositivos y controla el brillo de la pantalla
luisval+    1605  0.0  1.0 461180 40384 ?        Sl   22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Botones de acción Cerrar sesión, bloquear sesión u otras acciones del sistema
root        1642  0.0  0.2 318208  9872 ?        Ssl  22:19   0:00 /usr/libexec/upowerd
luisval+    1647  0.0  0.4 407496 19292 ?        Ssl  22:19   0:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
luisval+    1662  0.0  0.9  64308 39564 ?        S    22:19   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
luisval+    1665  0.0  1.1 622608 45856 ?        Sl   22:19   0:00 nm-applet
luisval+    1666  0.0  0.4 332016 17324 ?        Sl   22:19   0:00 xfce4-power-manager
luisval+    1668  0.0  0.4 191552 16224 ?        Sl   22:19   0:00 /usr/libexec/polkit-mate-authentication-agent-1
luisval+    1680  0.0  0.1 308608  6436 ?        Sl   22:19   0:00 /usr/libexec/geoclue-2.0/demos/agent
luisval+    1682  0.1  1.4 529108 59492 ?        Sl   22:19   0:01 /usr/bin/python3 /usr/bin/blueman-applet
luisval+    1688  0.1  0.9 245508 36128 ?        Sl   22:19   0:01 xfce4-screensaver
luisval+    1692  0.0  0.2 922672  8180 ?        Sl   22:19   0:00 xiccd
luisval+    1693  0.3  0.9 148604 38712 ?        Sl   22:19   0:04 /usr/bin/vmtoolsd -n vmusr --blockFd 3
luisval+    1695  0.0  0.0  12436  1856 ?        Ssl  22:19   0:00 xcape -e Super_L Control_L Escape
colord      1723  0.0  0.3 315972 13740 ?        Ssl  22:19   0:00 /usr/libexec/colord
luisval+    1818  0.0  0.3 426620 13192 ?        Ssl  22:19   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1834  0.0  0.3 404036 13540 ?        Ssl  22:19   0:00 /usr/libexec/udisks2/udisksd
